SubjectID,Group,FineTreeAccuracyPercent,LDAAccuracyPercent,SVMAccuracyPercent
10,A,95.8333333333333,91.6666666666667,91.6666666666667
14,A,87.5,70.8333333333333,70.8333333333333
15,A,91.6666666666667,95.8333333333333,95.8333333333333
20,A,83.3333333333333,75,75
22,A,100,100,100
25,A,100,100,100
26,A,100,100,100
31,A,100,100,100
32,A,100,100,100
35,A,100,100,100
1,B,62.5,62.5,66.6666666666667
2,B,58.3333333333333,58.3333333333333,70.8333333333333
3,B,95.8333333333333,95.8333333333333,95.8333333333333
5,B,87.5,87.5,87.5
6,B,100,100,100
7,B,70.8333333333333,70.8333333333333,62.5
8,B,100,95.8333333333333,91.6666666666667
9,B,79.1666666666667,45.8333333333333,62.5
12,B,100,100,100
17,B,58.3333333333333,62.5,58.3333333333333
18,B,66.6666666666667,45.8333333333333,66.6666666666667
19,B,79.1666666666667,83.3333333333333,79.1666666666667
21,B,54.1666666666666,37.5,54.1666666666666
24,B,91.6666666666667,91.6666666666667,91.6666666666667
27,B,58.3333333333333,41.6666666666667,58.3333333333333
28,B,83.3333333333333,83.3333333333333,83.3333333333333
30,B,70.8333333333333,66.6666666666667,70.8333333333333
34,B,87.5,79.1666666666667,79.1666666666667
