SubjectID,Calculated9Hz,Paper9Hz,Difference9Hz,Calculated10Hz,Paper10Hz,Difference10Hz,Calculated11Hz,Paper11Hz,Difference11Hz,Calculated12Hz,Paper12Hz,Difference12Hz
10,9.06666666666667,9.16,-0.0933333333333337,10,10,0,10.8666666666667,11,-0.133333333333333,12,12,0
14,9.03333333333333,9,0.0333333333333332,10.2666666666667,10.26,0.00666666666666771,10.7,11,-0.299999999999999,11.4333333333333,11.13,0.303333333333335
15,9,9.03,-0.0299999999999994,10,10,0,11,11,0,12,12,0
20,9.83333333333333,9.53,0.303333333333335,10,10.13,-0.130000000000001,10.9666666666667,11,-0.0333333333333332,12,12,0
22,9,9,0,10,9.96,0.0399999999999991,11,11,0,12,12,0
25,9,9,0,10,10,0,11,11,0,12,12,0
26,9,9,0,10,10,0,11,11,0,12,12,0
31,9,9,0,10,10,0,11,11,0,12,12,0
32,9,9,0,10,10,0,11,11,0,12,12,0
35,9,9,0,10,10,0,11,11,0,12,12,0
