SubjectID,Calculated9Hz,Paper9Hz,Difference9Hz,Calculated10Hz,Paper10Hz,Difference10Hz,Calculated11Hz,Paper11Hz,Difference11Hz,Calculated12Hz,Paper12Hz,Difference12Hz
1,9.93333333333333,9.53,0.403333333333334,10.1,10.13,-0.0300000000000011,10.9,11,-0.0999999999999996,11.2,11.26,-0.0599999999999987
2,9.83333333333333,9.83,0.00333333333333385,10.8333333333333,10.3,0.533333333333333,11,11,0,12.3,11.6,0.699999999999999
3,9,9,0,10.1666666666667,10.1,0.0666666666666664,11,11,0,12,12,0
5,9.7,9.56,0.140000000000001,10.2,10.2,1.77635683940025e-15,11.0333333333333,11.03,0.00333333333333385,12,12,0
6,9,9.166,-0.166,10,10,0,11,11,0,12,12,0
7,10.2,9.86,0.34,10.2,10.23,-0.0299999999999994,10.9666666666667,11.03,-0.0633333333333326,11.8333333333333,11.93,-0.0966666666666658
8,9.16666666666667,9.1,0.0666666666666664,9.86666666666667,10.2,-0.333333333333332,11,11,0,12,12,0
9,10.5666666666667,9.56,1.00666666666667,10.0333333333333,10.56,-0.526666666666667,10.6333333333333,10.13,0.503333333333332,11.7666666666667,11.86,-0.0933333333333337
12,9.7,9.1,0.600000000000001,10,10,0,10.8333333333333,11,-0.166666666666666,12,12,0
17,9.23333333333333,9.1,0.133333333333333,10.1,10,0.0999999999999996,11.0333333333333,11.03,0.00333333333333385,10.4666666666667,11.86,-1.39333333333333
18,9.56666666666667,9.1,0.466666666666667,9.86666666666667,10.56,-0.693333333333333,10.6,11.03,-0.43,11.2333333333333,10.23,1.00333333333333
19,9.8,9.56,0.24,9.9,10.2,-0.299999999999999,11.0333333333333,11,0.0333333333333332,12,12,0
21,10,9,1,10.4333333333333,10,0.433333333333334,11,11,0,10.1666666666667,11.86,-1.69333333333333
24,9,9.2,-0.199999999999999,10.1333333333333,10.2,-0.0666666666666664,11,11,0,12,12,0
27,11.2666666666667,9.96,1.30666666666666,10.0666666666667,10,0.0666666666666664,11.1,10.13,0.969999999999999,11.0666666666667,11.56,-0.493333333333332
28,9.26666666666667,9,0.266666666666666,10.2333333333333,10,0.233333333333333,11,11,0,11.3333333333333,11.86,-0.526666666666666
30,9.53333333333333,9.56,-0.0266666666666673,9.8,10,-0.200000000000001,11.1333333333333,11,0.133333333333333,12,10.23,1.77
34,9,9,0,10.3,10,0.299999999999999,11,11,0,11.7,11.86,-0.159999999999998
