SubjectID,Calculated9Hz,Paper9Hz,Difference9Hz,Calculated10Hz,Paper10Hz,Difference10Hz,Calculated11Hz,Paper11Hz,Difference11Hz,Calculated12Hz,Paper12Hz,Difference12Hz
10,9.16666666666667,9.16,0.00666666666666593,10,10,0,11,11,0,12,12,0
14,9,9,0,10.2666666666667,10.26,0.00666666666666771,11,11,0,11.1333333333333,11.13,0.00333333333333208
15,9.7,9.03,0.670000000000002,10,10,0,11,11,0,12,12,0
20,10.1666666666667,9.53,0.636666666666667,10,10.13,-0.130000000000001,11.0333333333333,11,0.0333333333333314,12,12,0
22,9,9,0,9.96666666666667,9.96,0.00666666666666593,11,11,0,12,12,0
25,9,9,0,10,10,0,11,11,0,12,12,0
26,9,9,0,10,10,0,11,11,0,12,12,0
31,9,9,0,10,10,0,11,11,0,12,12,0
32,9,9,0,10,10,0,11,11,0,12,12,0
35,9,9,0,10,10,0,11,11,0,12,12,0
