SubjectID,Calculated9Hz,Paper9Hz,Difference9Hz,Calculated10Hz,Paper10Hz,Difference10Hz,Calculated11Hz,Paper11Hz,Difference11Hz,Calculated12Hz,Paper12Hz,Difference12Hz
1,9.8,9.53,0.270000000000001,10.1,10.13,-0.0300000000000011,10.8666666666667,11,-0.133333333333333,11.2,11.26,-0.0599999999999987
2,9.83333333333333,9.83,0.00333333333333385,10.6,10.3,0.299999999999999,11,11,0,12.0666666666667,11.6,0.466666666666665
3,9,9,0,10.1,10.1,0,11,11,0,12,12,0
5,9.56666666666667,9.56,0.00666666666666771,10.2,10.2,1.77635683940025e-15,11.0333333333333,11.03,0.00333333333333385,11.6666666666667,12,-0.333333333333334
6,9,9.166,-0.166,10,10,0,11,11,0,12,12,0
7,10.2,9.86,0.34,10.0333333333333,10.23,-0.196666666666667,11.0333333333333,11.03,0.00333333333333385,11.8333333333333,11.93,-0.0966666666666658
8,9.2,9.1,0.0999999999999996,10,10.2,-0.199999999999999,11,11,0,12,12,0
9,9.56666666666667,9.56,0.00666666666666593,10.4,10.56,-0.16,10.8666666666667,10.13,0.736666666666666,11.9,11.86,0.0400000000000009
12,9,9.1,-0.0999999999999996,10.0666666666667,10,0.0666666666666664,11,11,0,12,12,0
17,9.23333333333333,9.1,0.133333333333333,10.1666666666667,10,0.166666666666666,10.8666666666667,11.03,-0.163333333333332,11.1666666666667,11.86,-0.693333333333333
18,9,9.1,-0.0999999999999996,10.2,10.56,-0.359999999999999,10.6666666666667,11.03,-0.363333333333333,10.8,10.23,0.569999999999999
19,9.16666666666667,9.56,-0.393333333333334,9.83333333333333,10.2,-0.366666666666665,10.7,11,-0.299999999999999,12,12,0
21,9.93333333333333,9,0.933333333333334,10.2333333333333,10,0.233333333333333,11.0333333333333,11,0.0333333333333314,10.8,11.86,-1.06
24,9.26666666666667,9.2,0.0666666666666682,10.1333333333333,10.2,-0.0666666666666664,11,11,0,12,12,0
27,10.7666666666667,9.96,0.806666666666665,10.0666666666667,10,0.0666666666666664,10.7666666666667,10.13,0.636666666666665,11.4666666666667,11.56,-0.0933333333333337
28,9.13333333333333,9,0.133333333333333,10.2666666666667,10,0.266666666666667,11,11,0,11.3333333333333,11.86,-0.526666666666666
30,11.5,9.56,1.94,10.0333333333333,10,0.0333333333333332,11.1333333333333,11,0.133333333333333,12,10.23,1.77
34,9,9,0,9.86666666666667,10,-0.133333333333333,11.1666666666667,11,0.166666666666666,11.4666666666667,11.86,-0.393333333333333
