BoundaryMode,ProcessingMethod,MeanAbsoluteDifferenceHz,GroupAMeanAbsoluteDifferenceHz,GroupBMeanAbsoluteDifferenceHz,RootMeanSquaredDifferenceHz,MaximumAbsoluteDifferenceHz,MatchingPercentage
sym,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
symh,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
zpd,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
sp0,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
spd,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
ppd,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
asym,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
asymh,FullTrialDWT_ThenCrop,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
sp0,CropThenDWT,0.19597619047619,0.0385,0.283462962962963,0.386732988975475,1.77,52.6785714285714
sym,CropThenDWT,0.197166666666667,0.0351666666666667,0.287166666666667,0.40338953760307,1.77,54.4642857142857
symh,CropThenDWT,0.197166666666667,0.0351666666666667,0.287166666666667,0.40338953760307,1.77,54.4642857142857
asym,CropThenDWT,0.198357142857143,0.0318333333333334,0.29087037037037,0.408788502385451,1.77,52.6785714285714
asymh,CropThenDWT,0.198357142857143,0.0318333333333334,0.29087037037037,0.408788502385451,1.77,52.6785714285714
ppd,CropThenDWT,0.203059523809524,0.046,0.290314814814815,0.406220119780256,1.77,52.6785714285714
per,FullTrialDWT_ThenCrop,0.206690476190476,0.0496666666666667,0.293925925925926,0.399676585523687,1.77,52.6785714285714
zpd,CropThenDWT,0.213892857142857,0.0376666666666667,0.311796296296296,0.431087246721257,1.77,51.7857142857143
spd,CropThenDWT,0.225988095238095,0.0801666666666666,0.307,0.406378342364424,1.77,44.6428571428571
per,CropThenDWT,0.244011904761905,0.0471666666666667,0.35337037037037,0.481368032320056,2.07333333333333,48.2142857142857
