SubjectID,Mean9Hz,Mean10Hz,Mean11Hz,Mean12Hz
1,9.8,10.1,10.8666666666667,11.2
2,9.83333333333333,10.6,11,12.0666666666667
3,9,10.1,11,12
5,9.56666666666667,10.2,11.0333333333333,11.6666666666667
6,9,10,11,12
7,10.2,10.0333333333333,11.0333333333333,11.8333333333333
8,9.16666666666667,10,11,12
9,9.56666666666667,10.4,10.6666666666667,11.7666666666667
12,9,10.0666666666667,11,12
17,9,10.1666666666667,10.8333333333333,11.1666666666667
18,9,10.2,10.6666666666667,10.8
19,9.26666666666667,9.83333333333333,10.7,12
21,9.93333333333333,10.2333333333333,11.0333333333333,10.8
24,9.26666666666667,10.1333333333333,11,12
27,10.7666666666667,10.0666666666667,10.7666666666667,11.4666666666667
28,9.13333333333333,10.2666666666667,11,11.3333333333333
30,11.5,10.0333333333333,11.1333333333333,12
34,9,9.86666666666667,11.1666666666667,11.4666666666667
